2026-05-27 21:16:22.157136 | Lager | ERFOLG
2026-05-27 21:17:29.660031 | Lager | ERFOLG
2026-05-27 21:21:50.900577 | Verwaltung | LOGIN OK
2026-05-27 21:26:40.907558 | Lager | LOGIN OK
2026-05-27 21:33:26.947100 | Lager | LOGIN OK
2026-05-27 21:36:09.729532 | Lager | LOGIN FAIL
2026-05-27 21:36:14.620200 | Lager | LOGIN OK
2026-05-27 22:08:32.391744 | Lager | LOGIN OK
2026-05-27 22:15:11.631980 | Geschäftsführung | LOGIN FAIL
2026-05-27 22:15:26.706967 | Geschäftsführung | LOGIN OK
2026-05-27 22:25:16.014765 | Lager | LOGIN OK
2026-05-27 22:25:51.977735 | Geschäftsführung | LOGIN OK
2026-05-27 22:26:55.131891 | Verwaltung | LOGIN OK
